epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4782.95,1.16097,1.63912,0.54115,0.81879,0.90262,0.88213,0.92547,0.56397,0.70547,0.673,0.58345,0.2031,1.23076,1.89436,1.09879,0.88962,0.00102337,0.00102337,0.00102337
41,4901.11,1.12757,1.57296,0.6317,0.82187,0.86947,0.86114,0.91068,0.51514,0.60802,0.57034,0.43663,0.13605,1.39367,1.79041,0.96543,0.89113,0.00100687,0.00100687,0.00100687
42,5018.33,1.12022,1.48368,0.53108,0.82954,0.78014,0.80949,0.78642,0.43533,0.52436,0.53992,0.41731,0.12911,1.41188,1.83317,1.03034,0.87882,0.000990365,0.000990365,0.000990365
43,5136.57,1.13085,1.53812,0.58477,0.82251,0.75106,0.69202,0.76062,0.44237,0.60217,0.51711,0.48675,0.16669,1.34421,2.01158,1.09437,0.89667,0.000973861,0.000973861,0.000973861
44,5253.62,1.03866,1.43663,0.52742,0.815,0.80357,0.68441,0.76954,0.44592,0.60349,0.52091,0.48124,0.16787,1.36365,2.25562,1.68095,0.90823,0.000957358,0.000957358,0.000957358
45,5371.55,1.02378,1.45076,0.48096,0.81547,0.86988,0.86692,0.90563,0.53828,0.61604,0.65275,0.51145,0.16962,1.2939,1.85525,1.2965,0.88051,0.000940855,0.000940855,0.000940855
46,5489.8,1.03696,1.44078,0.49214,0.82678,0.88702,0.89555,0.92348,0.56144,0.6036,0.64639,0.48219,0.15952,1.26359,1.83702,1.12055,0.87703,0.000924352,0.000924352,0.000924352
47,5608.11,0.9993,1.45143,0.49542,0.81977,0.90533,0.87271,0.93107,0.56076,0.67304,0.68876,0.56281,0.2152,1.25209,1.78359,1.04319,0.87695,0.000907848,0.000907848,0.000907848
48,5727.36,0.95327,1.2825,0.46949,0.81962,0.87599,0.91322,0.93707,0.56616,0.63626,0.673,0.54699,0.21618,1.21309,1.74632,0.81731,0.87252,0.000891345,0.000891345,0.000891345
49,5845.23,1.04725,1.46828,0.47197,0.81804,0.90955,0.88973,0.93186,0.56362,0.63322,0.61977,0.51833,0.1719,1.20177,1.61737,0.69663,0.87113,0.000874842,0.000874842,0.000874842
50,5963.1,0.98099,1.30712,0.47343,0.81584,0.93213,0.89354,0.93376,0.59274,0.67524,0.64639,0.5358,0.19827,1.12521,1.50703,0.64859,0.86609,0.000858338,0.000858338,0.000858338
51,6081.52,0.9311,1.25085,0.45478,0.81889,0.92435,0.89354,0.94959,0.58297,0.71973,0.68061,0.60979,0.24489,1.19008,1.54852,0.7304,0.86496,0.000841835,0.000841835,0.000841835
52,6198.85,0.97319,1.24818,0.46655,0.81514,0.942,0.92776,0.95388,0.58439,0.72797,0.68172,0.59664,0.24315,1.20439,1.55322,0.73629,0.87057,0.000825332,0.000825332,0.000825332
53,6317.15,1.01833,1.2645,0.47917,0.81737,0.9259,0.92395,0.95594,0.60433,0.66533,0.64253,0.54577,0.20801,1.14736,1.48364,0.66616,0.86341,0.000808828,0.000808828,0.000808828
54,6434.33,0.94435,1.22888,0.46371,0.81854,0.94186,0.92388,0.96498,0.6217,0.67774,0.64639,0.5586,0.20638,1.11157,1.40403,0.60335,0.85784,0.000792325,0.000792325,0.000792325
55,6552.14,0.9864,1.36357,0.4541,0.81865,0.94963,0.90875,0.96411,0.63013,0.70874,0.68441,0.59855,0.23746,1.14809,1.364,0.60702,0.90649,0.000775822,0.000775822,0.000775822
56,6670.73,0.98689,1.40159,0.45886,0.82013,0.94523,0.90875,0.96366,0.63948,0.69399,0.69962,0.59814,0.23521,1.07186,1.3378,0.60793,0.85851,0.000759318,0.000759318,0.000759318
57,6789.56,0.96676,1.3768,0.45476,0.81966,0.91644,0.95919,0.97424,0.65516,0.7067,0.63214,0.56839,0.23105,1.05397,1.22306,0.52222,0.86883,0.000742815,0.000742815,0.000742815
58,6907.85,0.88893,1.28167,0.4252,0.81455,0.93339,0.9591,0.97364,0.65991,0.7049,0.62738,0.55058,0.22827,1.03493,1.1696,0.50418,0.86221,0.000726312,0.000726312,0.000726312
59,7026.17,0.92143,1.33032,0.43398,0.81844,0.94919,0.96578,0.98071,0.64693,0.70355,0.70342,0.60255,0.24895,1.04222,1.18327,0.51103,0.85529,0.000709809,0.000709809,0.000709809
60,7145,0.90298,1.193,0.43522,0.81379,0.9722,0.9309,0.96878,0.63702,0.72567,0.70342,0.59979,0.24001,1.06125,1.27577,0.51566,0.85587,0.000693305,0.000693305,0.000693305
61,7262.53,0.98979,1.32144,0.44348,0.81482,0.95006,0.94039,0.97005,0.64377,0.69215,0.6616,0.55368,0.21757,1.0539,1.26201,0.48856,0.84943,0.000676802,0.000676802,0.000676802
62,7380.11,0.94107,1.25855,0.45148,0.82057,0.95034,0.93536,0.96831,0.65556,0.67065,0.65779,0.53388,0.19949,1.05435,1.26846,0.50048,0.85307,0.000660299,0.000660299,0.000660299
63,7498.34,0.96689,1.22078,0.4448,0.81056,0.94663,0.94417,0.96302,0.6516,0.6889,0.69202,0.55669,0.19705,1.04703,1.30092,0.53137,0.85792,0.000643795,0.000643795,0.000643795
64,7615.27,0.89826,1.24473,0.42184,0.80991,0.92655,0.92776,0.94422,0.61917,0.71582,0.71863,0.59976,0.22109,1.12913,1.41736,0.5953,0.8669,0.000627292,0.000627292,0.000627292
65,7733.32,0.90178,1.22473,0.42624,0.81358,0.95756,0.89734,0.95154,0.62343,0.73938,0.68821,0.60011,0.22577,1.0855,1.34893,0.60378,0.86284,0.000610789,0.000610789,0.000610789
66,7850.62,0.9087,1.22612,0.41943,0.80165,0.95683,0.92709,0.9562,0.64198,0.72486,0.68441,0.58945,0.22219,1.05635,1.27382,0.554,0.85775,0.000594286,0.000594286,0.000594286
67,7968.7,0.87452,1.331,0.40663,0.80452,0.95532,0.93156,0.95495,0.6529,0.71759,0.6763,0.58024,0.21745,1.01569,1.22527,0.53106,0.85258,0.000577782,0.000577782,0.000577782
68,8087,0.92078,1.25824,0.43463,0.81047,0.96086,0.92015,0.94879,0.65579,0.71312,0.6692,0.56535,0.21042,0.98596,1.26078,0.54031,0.85151,0.000561279,0.000561279,0.000561279
69,8204.95,0.8496,1.22486,0.41253,0.80362,0.96973,0.91635,0.94876,0.65785,0.71902,0.67681,0.57663,0.21506,0.94823,1.23678,0.55405,0.84729,0.000544776,0.000544776,0.000544776
70,8323.97,0.86566,1.19286,0.41381,0.80528,0.97375,0.92015,0.95126,0.66161,0.72365,0.68821,0.59606,0.22856,0.95918,1.23666,0.51814,0.85067,0.000528272,0.000528272,0.000528272
71,8441.83,0.85041,1.1994,0.39929,0.81301,0.9656,0.92015,0.95258,0.66675,0.71783,0.68679,0.61443,0.23982,0.96201,1.23871,0.49918,0.85441,0.000511769,0.000511769,0.000511769
72,8559.33,0.86755,1.22878,0.40277,0.81131,0.96809,0.92275,0.95501,0.6589,0.72893,0.69528,0.6323,0.24091,0.99448,1.26112,0.49177,0.86013,0.000495266,0.000495266,0.000495266
73,8676.4,0.86301,1.19893,0.40312,0.80574,0.97552,0.90919,0.953,0.65428,0.71555,0.68441,0.61386,0.23523,1.00243,1.2892,0.48421,0.85995,0.000478762,0.000478762,0.000478762
74,8793.78,0.87469,1.20054,0.39734,0.80961,0.97708,0.92395,0.96237,0.67524,0.7445,0.69962,0.63844,0.2466,0.9713,1.2731,0.46877,0.8496,0.000462259,0.000462259,0.000462259
75,8911.73,0.84591,1.21243,0.39508,0.79775,0.9838,0.92341,0.96809,0.67321,0.72485,0.68821,0.6067,0.24417,0.96292,1.28352,0.4555,0.84399,0.000445756,0.000445756,0.000445756
