epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1181.77,1.28179,2.27219,0.87221,1.09689,0.96363,0.8289,0.94813,0.56752,0.94668,0.81008,0.92464,0.40733,1.35687,2.31688,0.77634,1.02455,0.00149537,0.00149537,0.00149537
54,1203.92,1.30463,2.13888,0.83305,1.11462,0.96101,0.8403,0.95241,0.58839,0.95833,0.8327,0.92949,0.40937,1.34724,2.22791,0.79275,1.0328,0.00149207,0.00149207,0.00149207
55,1226.08,1.3,2.41434,0.80268,1.04632,0.91916,0.85551,0.95043,0.63846,0.91864,0.80608,0.89936,0.38743,1.23427,2.093,0.74241,1.01376,0.00148876,0.00148876,0.00148876
56,1248.44,1.3006,2.30994,0.93153,1.16504,0.95373,0.81369,0.9308,0.62437,0.91968,0.79087,0.89316,0.37464,1.2346,2.11626,0.74313,1.01521,0.00148546,0.00148546,0.00148546
57,1270.56,1.16746,2.25784,0.8412,1.03914,0.95373,0.81369,0.9308,0.62437,0.91968,0.79087,0.89316,0.37464,1.2346,2.11626,0.74313,1.01521,0.00148216,0.00148216,0.00148216
58,1292.85,1.12696,2.16339,0.70649,0.98803,0.9592,0.85171,0.93916,0.62359,0.92491,0.8365,0.90252,0.42487,1.27653,2.11532,0.74525,1.01878,0.00147886,0.00147886,0.00147886
59,1315.49,1.16018,2.16146,0.73807,0.99968,0.9585,0.90114,0.96584,0.62083,0.94636,0.88973,0.94485,0.43032,1.30345,2.12931,0.74267,1.01981,0.00147556,0.00147556,0.00147556
60,1337.98,1.11727,2.17886,0.69978,1.01114,0.9651,0.92776,0.9717,0.6205,0.95036,0.91255,0.94435,0.41281,1.31655,2.12727,0.75024,1.01837,0.00147226,0.00147226,0.00147226
61,1360.07,1.2478,2.16237,0.81493,1.071,0.95295,0.92417,0.97616,0.61939,0.94786,0.89862,0.94346,0.41538,1.29066,2.06699,0.6785,1.02021,0.00146896,0.00146896,0.00146896
62,1382.21,1.17566,2.20078,0.76673,1.06666,0.96809,0.92282,0.97983,0.63561,0.95614,0.9118,0.95599,0.43745,1.2266,2.06971,0.65497,0.99618,0.00146566,0.00146566,0.00146566
63,1404.66,1.18697,2.18406,0.75302,1.05793,0.97944,0.90556,0.97829,0.64466,0.97124,0.89877,0.95433,0.44793,1.19246,2.02081,0.65072,0.99274,0.00146236,0.00146236,0.00146236
64,1427.15,1.17788,2.23768,0.74906,1.07339,0.92478,0.94677,0.97932,0.62916,0.90249,0.92395,0.93416,0.38208,1.26396,2.10833,0.68865,1.00804,0.00145906,0.00145906,0.00145906
65,1449.29,1.12765,2.19092,0.70664,0.998,0.95246,0.90114,0.97119,0.63,0.92547,0.87452,0.92046,0.37488,1.23837,2.08317,0.72265,1.00279,0.00145576,0.00145576,0.00145576
66,1471.29,1.19519,2.12013,0.99598,1.02699,0.93076,0.92001,0.96752,0.62316,0.91922,0.9086,0.9516,0.42124,1.24154,2.03426,0.72368,1.00116,0.00145246,0.00145246,0.00145246
67,1493.33,1.24089,2.18096,0.90269,1.10952,0.92617,0.91635,0.96481,0.62674,0.91564,0.88973,0.94129,0.42908,1.22667,2.08212,0.72379,0.99287,0.00144916,0.00144916,0.00144916
68,1515.4,1.18158,2.15754,3.51931,0.98761,0.96437,0.92618,0.97425,0.61537,0.95986,0.90913,0.94883,0.42743,1.2635,2.17904,0.69949,0.99731,0.00144586,0.00144586,0.00144586
69,1537.51,1.17102,2.18677,0.73215,1.00801,0.9503,0.92776,0.9727,0.62084,0.94722,0.88705,0.93468,0.41387,1.27301,2.19067,0.71481,1.0018,0.00144256,0.00144256,0.00144256
70,1559.93,1.13737,2.20906,0.73544,0.99186,0.96672,0.92776,0.96648,0.60824,0.95087,0.91255,0.94813,0.45905,1.24363,2.03063,0.72421,0.98863,0.00143925,0.00143925,0.00143925
71,1582.12,1.08406,2.11772,0.69326,0.97211,0.96506,0.93156,0.97521,0.63359,0.9496,0.91635,0.9516,0.41826,1.18403,1.9934,0.71904,0.97408,0.00143595,0.00143595,0.00143595
72,1604.26,1.06562,2.05075,0.66856,0.95551,0.96397,0.91563,0.97081,0.61485,0.94022,0.89704,0.91991,0.38962,1.26764,2.19551,0.68062,0.98369,0.00143265,0.00143265,0.00143265
73,1626.29,1.15755,2.15412,0.77599,1.05652,0.96397,0.91563,0.97081,0.61485,0.94022,0.89704,0.91991,0.38962,1.26764,2.19551,0.68062,0.98369,0.00142935,0.00142935,0.00142935
74,1648.31,1.13011,2.13796,0.75868,1.01632,0.97105,0.89265,0.96402,0.64687,0.94622,0.86963,0.92233,0.41474,1.22508,2.09125,0.71321,0.99215,0.00142605,0.00142605,0.00142605
75,1670.37,1.15536,2.24675,0.7058,0.9923,0.97241,0.90114,0.96938,0.65025,0.95179,0.88213,0.94248,0.44786,1.22738,2.02616,0.72159,0.98835,0.00142275,0.00142275,0.00142275
76,1692.77,1.02942,1.96165,0.70792,1.03503,0.96404,0.91744,0.97432,0.66779,0.97503,0.8908,0.9578,0.42871,1.15776,1.98928,0.66743,0.978,0.00141945,0.00141945,0.00141945
77,1715.15,1.19112,2.11055,0.69772,0.97558,0.97189,0.92016,0.96285,0.57457,0.93156,0.87452,0.90937,0.38378,1.37722,2.27498,0.71926,1.01001,0.00141615,0.00141615,0.00141615
78,1737.32,1.22533,2.18354,0.70969,1.00743,0.95667,0.92353,0.9696,0.56361,0.93036,0.88593,0.92798,0.37644,1.40174,2.25027,0.78243,1.02266,0.00141285,0.00141285,0.00141285
79,1759.59,1.12488,2.0719,0.66028,0.97859,0.95694,0.92951,0.96681,0.61396,0.94124,0.91354,0.94163,0.4323,1.24915,1.95838,0.75458,0.98977,0.00140955,0.00140955,0.00140955
80,1781.85,1.17138,2.20207,0.67386,0.97191,0.95828,0.91635,0.96703,0.60707,0.93618,0.89238,0.93006,0.43045,1.25024,1.97925,0.70761,0.98449,0.00140625,0.00140625,0.00140625
81,1804.05,1.15265,2.07604,0.68975,1.01414,0.94889,0.91635,0.97346,0.64454,0.92404,0.87878,0.92983,0.40545,1.14944,1.99027,0.66773,0.97496,0.00140295,0.00140295,0.00140295
82,1826.19,1.19496,2.15664,0.68446,0.96333,0.94606,0.93156,0.98065,0.62369,0.92779,0.87936,0.92067,0.36963,1.25206,2.16045,0.65746,0.97766,0.00139965,0.00139965,0.00139965
83,1848.2,1.2046,1.97617,0.72468,1.08182,0.95382,0.94248,0.98512,0.60907,0.91905,0.91635,0.94411,0.39039,1.31519,2.1725,0.65819,1.00322,0.00139635,0.00139635,0.00139635
84,1870.22,1.21007,1.88745,0.70448,1.05764,0.95334,0.95057,0.98381,0.63035,0.94261,0.93668,0.96608,0.43738,1.239,1.97125,0.64194,0.98623,0.00139305,0.00139305,0.00139305
85,1892.45,1.1273,1.97215,0.62109,0.97134,0.95447,0.95057,0.9815,0.6615,0.93739,0.93536,0.95113,0.45755,1.14581,1.905,0.62592,0.96305,0.00138974,0.00138974,0.00138974
86,1914.8,1.13345,2.08767,0.64236,0.98356,0.97615,0.93363,0.98256,0.6598,0.95229,0.91082,0.93827,0.40971,1.16154,1.93843,0.65201,0.97194,0.00138644,0.00138644,0.00138644
87,1936.79,1.21993,1.92512,0.7372,1.12849,0.97273,0.94927,0.98747,0.66825,0.95326,0.93048,0.96057,0.45035,1.13314,1.92018,0.6162,0.95928,0.00138314,0.00138314,0.00138314
88,1959.4,1.00474,1.96792,0.58135,0.93488,0.948,0.97047,0.9892,0.63446,0.9406,0.96327,0.97959,0.4831,1.23131,1.88591,0.62041,0.97937,0.00137984,0.00137984,0.00137984
89,1981.75,1.09613,1.92481,0.61562,0.98476,0.948,0.97047,0.9892,0.63446,0.9406,0.96327,0.97959,0.4831,1.23131,1.88591,0.62041,0.97937,0.00137654,0.00137654,0.00137654
