epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6482.53,0.87272,1.11277,0.67686,0.84223,0.96529,0.95057,0.98124,0.74142,0.94328,0.92776,0.95076,0.50561,0.90918,1.19678,0.86657,0.84709,0.000990365,0.000990365,0.000990365
43,6632.48,0.87235,1.13521,0.66035,0.847,0.95817,0.95809,0.98076,0.72306,0.93782,0.91749,0.95116,0.51887,0.94544,1.19061,0.84467,0.85258,0.000973861,0.000973861,0.000973861
44,6770.64,0.79559,1.0388,0.6324,0.82937,0.94042,0.95437,0.98153,0.72474,0.92693,0.91641,0.95377,0.54672,0.93978,1.1558,0.82957,0.85574,0.000957358,0.000957358,0.000957358
45,6915.11,0.81586,1.06047,0.63662,0.83639,0.93541,0.93536,0.97901,0.73878,0.9127,0.9143,0.95036,0.51133,0.89496,1.18055,0.80774,0.85111,0.000940855,0.000940855,0.000940855
46,7065.26,0.8276,1.1269,0.63529,0.84372,0.93591,0.94394,0.9796,0.75021,0.90592,0.91529,0.94167,0.4777,0.85746,1.21213,0.75902,0.84449,0.000924352,0.000924352,0.000924352
47,7210.04,0.78636,1.09276,0.62487,0.82757,0.94645,0.93916,0.97879,0.75028,0.92006,0.91255,0.94493,0.50144,0.84497,1.21699,0.71906,0.84033,0.000907848,0.000907848,0.000907848
48,7355.59,0.76257,1.00935,0.62123,0.8351,0.95808,0.95602,0.9839,0.74227,0.92352,0.91823,0.93968,0.50784,0.87765,1.20192,0.69676,0.84503,0.000891345,0.000891345,0.000891345
49,7495.62,0.87481,1.18164,0.64536,0.83102,0.94241,0.96198,0.98337,0.73472,0.91773,0.93316,0.94316,0.48345,0.89499,1.19558,0.71346,0.84724,0.000874842,0.000874842,0.000874842
50,7638.05,0.78527,1.00707,0.61429,0.83147,0.92686,0.96368,0.98308,0.74156,0.9408,0.90634,0.94897,0.48577,0.8644,1.19516,0.69895,0.8446,0.000858338,0.000858338,0.000858338
51,7778.47,0.76592,0.96217,0.60422,0.83268,0.93832,0.97719,0.98513,0.74809,0.91197,0.93536,0.95072,0.50421,0.83419,1.18333,0.66377,0.84355,0.000841835,0.000841835,0.000841835
52,7914.71,0.755,0.97449,0.60349,0.83318,0.95214,0.98345,0.98824,0.74818,0.92642,0.95742,0.96041,0.50186,0.85094,1.15207,0.65057,0.84357,0.000825332,0.000825332,0.000825332
53,8053.83,0.76275,0.98442,0.6019,0.82379,0.95883,0.98099,0.98942,0.73917,0.92498,0.94677,0.94811,0.47878,0.8757,1.15079,0.6423,0.84476,0.000808828,0.000808828,0.000808828
54,8187.34,0.74426,0.96805,0.60119,0.82077,0.94995,0.97719,0.98973,0.74445,0.93191,0.93665,0.95298,0.48644,0.85945,1.15308,0.63964,0.8441,0.000792325,0.000792325,0.000792325
